routerSerial,ri,action,movement,fall,battery,count,label,routerTime
B8-27-EB-D5-33-8B,-81,2,0,0,100,53,0,1595325181455
B8-27-EB-DB-FE-98,-76,2,0,0,100,53,0,1595325181651
B8-27-EB-DB-FE-98,-75,2,0,0,100,58,0,1595325183825
B8-27-EB-DB-FE-98,-67,4,38,0,100,63,0,1595325186271
B8-27-EB-DB-FE-98,-84,2,27,0,100,65,0,1595325187171
B8-27-EB-6A-B8-0B,-82,2,1,0,100,67,0,1595325188227
B8-27-EB-C0-BC-B1,-81,2,1,0,100,67,0,1595325188299
B8-27-EB-D5-33-8B,-83,2,1,0,100,67,0,1595325188502
B8-27-EB-6A-B8-0B,-89,2,0,0,100,53,0,1595325181454
B8-27-EB-C0-BC-B1,-86,2,45,0,100,64,0,1595325186753
B8-27-EB-6A-B8-0B,-82,2,0,0,100,69,0,1595325189276
B8-27-EB-C0-BC-B1,-82,2,0,0,100,74,0,1595325191666
B8-27-EB-DB-FE-98,-87,2,0,0,100,75,0,1595325192390
B8-27-EB-DB-FE-98,-73,2,0,0,100,73,0,1595325191154
B8-27-EB-C0-BC-B1,-82,2,0,0,100,76,0,1595325193026
B8-27-EB-D5-33-8B,-84,2,0,0,100,78,0,1595325193515
B8-27-EB-C0-BC-B1,-93,2,0,0,100,79,0,1595325194082
B8-27-EB-DB-FE-98,-79,2,0,0,100,80,0,1595325194548
B8-27-EB-D5-33-8B,-95,2,0,0,100,81,0,1595325195019
B8-27-EB-DB-FE-98,-90,2,0,0,100,82,0,1595325196056
B8-27-EB-D5-33-8B,-96,2,3,0,100,84,0,1595325196306
B8-27-EB-C0-BC-B1,-87,2,3,0,100,84,0,1595325196508
B8-27-EB-6A-B8-0B,-83,2,1,0,100,85,0,1595325196906
B8-27-EB-D5-33-8B,-95,2,1,0,100,85,0,1595325196923
B8-27-EB-DB-FE-98,-70,2,1,0,100,88,0,1595325198297
B8-27-EB-7A-0F-BF,-92,2,1,0,100,89,0,1595325198874
B8-27-EB-DB-FE-98,-69,2,1,0,100,90,0,1595325199232
B8-27-EB-DB-FE-98,-87,2,0,0,100,92,0,1595325200313
B8-27-EB-6A-B8-0B,-80,2,0,0,100,93,0,1595325201194
B8-27-EB-C0-BC-B1,-85,2,1,0,100,95,0,1595325201617
B8-27-EB-6A-B8-0B,-95,2,1,0,100,99,0,1595325203499
B8-27-EB-D5-33-8B,-81,2,1,0,100,100,0,1595325204000
B8-27-EB-DB-FE-98,-79,2,0,0,100,101,0,1595325204633
B8-27-EB-C0-BC-B1,-88,2,2,0,100,104,0,1595325205918
B8-27-EB-6A-B8-0B,-85,2,2,0,100,104,0,1595325205924
B8-27-EB-6A-B8-0B,-97,2,2,0,100,106,0,1595325206983
B8-27-EB-D5-33-8B,-81,2,1,0,100,107,0,1595325207527
B8-27-EB-DB-FE-98,-85,2,1,0,100,107,0,1595325207945
B8-27-EB-C0-BC-B1,-95,2,1,0,100,109,0,1595325208339
B8-27-EB-6A-B8-0B,-85,2,1,0,100,110,0,1595325208785
B8-27-EB-DB-FE-98,-91,2,1,0,100,111,0,1595325209253
B8-27-EB-6A-B8-0B,-92,2,1,0,100,111,0,1595325209262
B8-27-EB-6A-B8-0B,-83,2,3,0,100,118,0,1595325212635
B8-27-EB-DB-FE-98,-75,2,9,0,100,115,0,1595325211255
B8-27-EB-C0-BC-B1,-83,2,9,0,100,115,0,1595325211266
B8-27-EB-6A-B8-0B,-93,2,3,0,100,118,0,1595325213102
B8-27-EB-DB-FE-98,-73,2,1,0,100,120,0,1595325213653
B8-27-EB-D5-33-8B,-94,2,1,0,100,119,0,1595325214305
B8-27-EB-DB-FE-98,-81,2,2,0,100,122,0,1595325214566
B8-27-EB-D5-33-8B,-95,2,2,0,100,122,0,1595325215127
B8-27-EB-6A-B8-0B,-80,2,1,0,100,124,0,1595325215663
