routerSerial,ri,action,movement,fall,battery,count,label,routerTime,loc_label
B8-27-EB-D5-33-8B,-92,2,1,0,0,91,0,1595326689690,Dining
B8-27-EB-C0-BC-B1,-75,2,1,0,0,91,0,1595326689960,Dining
B8-27-EB-6A-B8-0B,-85,2,0,0,0,93,0,1595326690675,Dining
B8-27-EB-C0-BC-B1,-74,2,0,0,0,93,0,1595326691159,Dining
B8-27-EB-DB-FE-98,-88,2,1,0,0,92,0,1595326691443,Dining
B8-27-EB-D5-33-8B,-82,2,0,0,0,95,0,1595326691593,Dining
B8-27-EB-DB-FE-98,-85,2,1,0,0,96,0,1595326692005,Dining
B8-27-EB-C0-BC-B1,-87,2,0,0,0,95,0,1595326692368,Dining
B8-27-EB-DB-FE-98,-59,2,2,0,0,97,0,1595326692522,Dining
B8-27-EB-6A-B8-0B,-77,2,2,0,0,97,0,1595326692541,Dining
B8-27-EB-F2-6B-8A,-94,2,2,0,0,97,0,1595326692838,Dining
B8-27-EB-DB-FE-98,-66,4,15,0,0,99,0,1595326693480,Dining
B8-27-EB-C0-BC-B1,-73,2,4,0,0,98,0,1595326693501,Dining
B8-27-EB-C0-BC-B1,-89,2,42,0,0,100,0,1595326693947,Dining
B8-27-EB-6A-B8-0B,-78,2,42,0,0,100,0,1595326693958,Dining
B8-27-EB-D5-33-8B,-77,2,4,0,0,98,0,1595326694173,Dining
B8-27-EB-D5-33-8B,-100,4,16,0,0,102,0,1595326695016,Dining
B8-27-EB-DB-FE-98,-69,4,16,0,0,102,0,1595326695151,Dining
B8-27-EB-6A-B8-0B,-81,2,21,0,0,104,0,1595326695886,Dining
B8-27-EB-DB-FE-98,-67,2,19,0,0,106,0,1595326696877,Dining
B8-27-EB-C0-BC-B1,-78,2,19,0,0,106,0,1595326696894,Dining
B8-27-EB-D5-33-8B,-82,4,27,0,0,105,0,1595326696921,Dining
B8-27-EB-D5-33-8B,-92,2,21,0,0,107,0,1595326697457,Dining
B8-27-EB-C0-BC-B1,-67,4,21,0,0,108,0,1595326698259,Dining
B8-27-EB-DB-FE-98,-74,2,19,0,0,109,0,1595326698271,Dining
B8-27-EB-D5-33-8B,-95,2,22,0,0,110,0,1595326698752,Dining
B8-27-EB-C0-BC-B1,-77,2,22,0,0,110,0,1595326698803,Dining
B8-27-EB-DB-FE-98,-76,4,17,0,0,111,1,1595326699305,Pantry
B8-27-EB-C0-BC-B1,-77,2,16,0,0,112,1,1595326699758,Pantry
B8-27-EB-DB-FE-98,-82,2,29,0,0,113,1,1595326700224,Pantry
B8-27-EB-C0-BC-B1,-87,2,24,0,0,115,1,1595326701673,Pantry
B8-27-EB-C0-BC-B1,-78,4,37,0,0,117,1,1595326702106,Pantry
B8-27-EB-DB-FE-98,-75,2,24,0,0,118,1,1595326702589,Pantry
B8-27-EB-C0-BC-B1,-67,4,7,0,0,120,1,1595326704031,Pantry
B8-27-EB-C0-BC-B1,-60,2,1,0,0,122,1,1595326704657,Pantry
B8-27-EB-DB-FE-98,-74,2,0,0,0,123,1,1595326705036,Pantry
B8-27-EB-C0-BC-B1,-75,2,1,0,0,122,1,1595326705130,Pantry
B8-27-EB-DB-FE-98,-76,2,16,0,0,125,1,1595326706014,Pantry
B8-27-EB-C0-BC-B1,-58,2,16,0,0,125,1,1595326706169,Pantry
B8-27-EB-C0-BC-B1,-71,2,16,0,0,125,1,1595326706769,Pantry
B8-27-EB-D5-33-8B,-84,2,19,0,0,127,1,1595326707173,Pantry
B8-27-EB-C0-BC-B1,-87,2,19,0,0,127,1,1595326707751,Pantry
B8-27-EB-DB-FE-98,-94,2,7,0,0,130,1,1595326708478,Pantry
B8-27-EB-C0-BC-B1,-79,4,25,0,0,129,1,1595326708674,Pantry
B8-27-EB-C0-BC-B1,-90,4,16,0,0,132,1,1595326710140,Pantry
B8-27-EB-C0-BC-B1,-96,2,13,0,0,134,1,1595326710680,Pantry
B8-27-EB-C0-BC-B1,-78,2,13,0,0,136,1,1595326711241,Pantry
B8-27-EB-C0-BC-B1,-65,2,15,0,0,140,1,1595326713175,Pantry
B8-27-EB-D5-33-8B,-95,2,14,0,0,141,1,1595326713706,Pantry
B8-27-EB-C0-BC-B1,-88,2,14,0,0,141,1,1595326713976,Pantry
B8-27-EB-6A-B8-0B,-92,4,15,0,0,145,1,1595326715554,Pantry
B8-27-EB-C0-BC-B1,-77,4,5,0,0,148,2,1595326717022,Toilet
B8-27-EB-C0-BC-B1,-89,2,7,0,0,152,2,1595326719348,Toilet
B8-27-EB-C0-BC-B1,-81,2,25,0,0,153,2,1595326720203,Toilet
B8-27-EB-DB-FE-98,-91,2,25,0,0,153,2,1595326720188,Toilet
B8-27-EB-C0-BC-B1,-76,2,15,0,0,156,2,1595326721167,Toilet
B8-27-EB-C0-BC-B1,-89,2,42,0,0,159,2,1595326722270,Toilet
B8-27-EB-C0-BC-B1,-75,2,21,0,0,161,2,1595326723616,Toilet
B8-27-EB-C0-BC-B1,-75,2,2,0,0,165,2,1595326725176,Toilet
B8-27-EB-C0-BC-B1,-77,2,2,0,0,165,2,1595326725967,Toilet
B8-27-EB-C0-BC-B1,-81,4,14,0,0,168,2,1595326726583,Toilet
B8-27-EB-6A-B8-0B,-88,2,15,0,0,170,2,1595326727575,Toilet
B8-27-EB-6A-B8-0B,-85,2,19,0,0,172,2,1595326728587,Toilet
B8-27-EB-C0-BC-B1,-87,2,26,0,0,173,2,1595326728990,Toilet
B8-27-EB-DB-FE-98,-78,2,5,0,0,176,2,1595326730472,Toilet
B8-27-EB-C0-BC-B1,-76,2,5,0,0,176,2,1595326730564,Toilet
B8-27-EB-C0-BC-B1,-71,2,29,0,0,178,3,1595326731613,Pantry
B8-27-EB-6A-B8-0B,-73,2,19,0,0,179,3,1595326731998,Pantry
B8-27-EB-D5-33-8B,-91,2,29,0,0,178,3,1595326731388,Pantry
B8-27-EB-C0-BC-B1,-78,2,9,0,0,180,3,1595326733178,Pantry
B8-27-EB-DB-FE-98,-94,2,4,0,0,183,3,1595326733770,Pantry
B8-27-EB-C0-BC-B1,-75,2,2,0,0,182,3,1595326733684,Pantry
B8-27-EB-C0-BC-B1,-67,2,9,0,0,180,3,1595326732431,Pantry
B8-27-EB-DB-FE-98,-92,4,9,0,0,185,3,1595326734732,Pantry
B8-27-EB-C0-BC-B1,-56,2,18,0,0,187,3,1595326737139,Pantry
B8-27-EB-6A-B8-0B,-96,2,1,0,0,190,3,1595326737687,Pantry
B8-27-EB-C0-BC-B1,-74,2,1,0,0,190,3,1595326738102,Pantry
B8-27-EB-DB-FE-98,-78,4,5,0,0,193,3,1595326738663,Pantry
B8-27-EB-D5-33-8B,-82,4,5,0,0,193,3,1595326738685,Pantry
B8-27-EB-C0-BC-B1,-72,2,8,0,0,192,3,1595326738999,Pantry
B8-27-EB-C0-BC-B1,-75,2,4,0,0,194,3,1595326739463,Pantry
B8-27-EB-C0-BC-B1,-82,2,14,0,0,196,3,1595326740184,Pantry
B8-27-EB-D5-33-8B,-91,4,13,0,0,197,3,1595326740506,Pantry
B8-27-EB-D5-33-8B,-78,4,16,0,0,200,4,1595326742099,Dining
B8-27-EB-C0-BC-B1,-85,2,19,0,0,201,4,1595326742455,Dining
B8-27-EB-6A-B8-0B,-79,2,19,0,0,201,4,1595326742462,Dining
B8-27-EB-DB-FE-98,-78,2,19,0,0,201,4,1595326742556,Dining
B8-27-EB-C0-BC-B1,-95,2,19,0,0,201,4,1595326742906,Dining
B8-27-EB-6A-B8-0B,-88,2,59,0,0,204,4,1595326743874,Dining
B8-27-EB-C0-BC-B1,-96,2,59,0,0,204,4,1595326744838,Dining
B8-27-EB-6A-B8-0B,-99,4,38,0,0,206,4,1595326744843,Dining
B8-27-EB-DB-FE-98,-62,4,38,0,0,206,4,1595326744926,Dining
B8-27-EB-C0-BC-B1,-93,2,19,0,0,207,4,1595326745301,Dining
B8-27-EB-7A-0F-BF,-87,2,19,0,0,207,4,1595326745298,Dining
B8-27-EB-C0-BC-B1,-88,2,16,0,0,208,4,1595326745834,Dining
B8-27-EB-D5-33-8B,-90,2,19,0,0,207,4,1595326745690,Dining
B8-27-EB-DB-FE-98,-70,4,24,0,0,209,4,1595326746363,Dining
B8-27-EB-C0-BC-B1,-80,2,113,0,0,210,4,1595326746792,Dining
