routerSerial,ri,action,movement,fall,battery,count,label,routerTime,loc_label
B8-27-EB-DB-FE-98,-92,2,1,0,100,146,0,1.59533E+12,Dining
B8-27-EB-DB-FE-98,-76,2,2,0,100,149,0,1.59533E+12,Dining
B8-27-EB-7A-0F-BF,-91,4,31,0,100,151,0,1.59533E+12,Dining
B8-27-EB-DB-FE-98,-89,4,20,0,100,154,0,1.59533E+12,Dining
B8-27-EB-6A-B8-0B,-85,4,37,0,100,157,0,1.59533E+12,Dining
B8-27-EB-DB-FE-98,-98,4,14,0,100,160,0,1.59533E+12,Dining
B8-27-EB-6A-B8-0B,-83,2,22,0,100,159,0,1.59533E+12,Dining
B8-27-EB-6A-B8-0B,-81,2,9,0,100,164,1,1.59533E+12,Stairway
B8-27-EB-22-6B-12,-97,2,11,0,100,167,1,1.59533E+12,Stairway
B8-27-EB-DB-FE-98,-98,2,21,0,100,171,1,1.59533E+12,Stairway
B8-27-EB-22-6B-12,-82,2,18,0,100,174,1,1.59533E+12,Stairway
B8-27-EB-22-6B-12,-81,2,0,0,100,183,1,1.59533E+12,Stairway
B8-27-EB-22-6B-12,-98,2,0,0,100,185,1,1.59533E+12,Stairway
B8-27-EB-22-6B-12,-97,2,1,0,100,189,1,1.59533E+12,Stairway
B8-27-EB-22-6B-12,-94,2,15,0,100,202,1,1.59533E+12,Stairway
B8-27-EB-22-6B-12,-88,4,24,0,100,206,2,1.59533E+12,Buddha
B8-27-EB-22-6B-12,-77,2,14,0,100,207,2,1.59533E+12,Buddha
B8-27-EB-22-6B-12,-72,4,30,0,100,209,2,1.59533E+12,Buddha
B8-27-EB-22-6B-12,-90,2,59,0,100,217,2,1.59533E+12,Buddha
B8-27-EB-AD-32-FA,-80,4,43,0,100,218,2,1.59533E+12,Buddha
B8-27-EB-6A-B8-0B,-91,2,14,0,100,214,2,1.59533E+12,Buddha
B8-27-EB-22-6B-12,-78,2,5,0,100,219,2,1.59533E+12,Buddha
B8-27-EB-6A-B8-0B,-88,2,0,0,100,220,2,1.59533E+12,Buddha
B8-27-EB-22-6B-12,-80,3,0,0,100,222,2,1.59533E+12,Buddha
B8-27-EB-22-6B-12,-67,3,4,0,100,224,2,1.59533E+12,Buddha
B8-27-EB-F2-6B-8A,-88,3,28,0,100,226,2,1.59533E+12,Buddha
B8-27-EB-6A-B8-0B,-94,3,28,0,100,226,2,1.59533E+12,Buddha
B8-27-EB-22-6B-12,-90,3,37,0,100,227,2,1.59533E+12,Buddha
