routerSerial,ri,action,movement,fall,battery,count,label,routerTime
B8-27-EB-6A-B8-0B,-67,17,73,0,0,179,Living,1595310885067
B8-27-EB-DB-FE-98,-79,17,73,0,0,179,Living,1595310885173
B8-27-EB-DB-FE-98,-82,17,86,0,0,181,Living,1595310885696
B8-27-EB-F2-6B-8A,-89,17,86,0,0,181,Living,1595310885791
B8-27-EB-6A-B8-0B,-70,17,12,0,0,182,Living,1595310886309
B8-27-EB-DB-FE-98,-77,4,13,0,0,183,Living,1595310886631
B8-27-EB-6A-B8-0B,-73,17,17,0,0,184,Living,1595310887813
B8-27-EB-6A-B8-0B,-71,4,21,0,0,186,Living,1595310888569
B8-27-EB-DB-FE-98,-75,17,13,0,0,190,Living,1595310890107
B8-27-EB-D5-33-8B,-88,17,19,0,0,191,Living,1595310890449
B8-27-EB-6A-B8-0B,-91,17,19,0,0,191,Living,1595310891319
B8-27-EB-DB-FE-98,-77,4,16,0,0,195,Living,1595310892409
B8-27-EB-6A-B8-0B,-82,17,37,0,0,193,Living,1595310892818
B8-27-EB-C0-BC-B1,-81,17,15,0,0,196,Living,1595310894596
B8-27-EB-6A-B8-0B,-80,4,23,0,0,198,Living,1595310895336
B8-27-EB-DB-FE-98,-70,17,35,0,0,202,Living,1595310895833
B8-27-EB-DB-FE-98,-89,17,43,0,0,205,Living,1595310897180
B8-27-EB-C0-BC-B1,-75,17,43,0,0,205,Living,1595310897289
B8-27-EB-6A-B8-0B,-84,17,43,0,0,205,Living,1595310898321
B8-27-EB-DB-FE-98,-89,17,5,0,0,208,Living,1595310898612
B8-27-EB-DB-FE-98,-76,17,9,0,0,209,Living,1595310899218
B8-27-EB-6A-B8-0B,-86,17,5,0,0,208,Living,1595310899332
B8-27-EB-DB-FE-98,-86,17,9,0,0,209,Living,1595310900310
B8-27-EB-6A-B8-0B,-76,4,12,0,0,213,Living,1595310901226
B8-27-EB-6A-B8-0B,-80,17,12,0,0,215,Living,1595310902697
B8-27-EB-DB-FE-98,-93,17,15,0,0,214,Living,1595310902783
B8-27-EB-DB-FE-98,-73,4,27,0,0,219,Living,1595310904693
B8-27-EB-DB-FE-98,-74,17,24,0,0,224,Living,1595310906564
B8-27-EB-6A-B8-0B,-76,4,20,0,0,222,Living,1595310906565
B8-27-EB-D5-33-8B,-95,4,20,0,0,225,Living,1595310906776
B8-27-EB-6A-B8-0B,-82,4,20,0,0,225,Living,1595310907332
B8-27-EB-DB-FE-98,-80,17,18,0,0,227,Living,1595310907855
B8-27-EB-DB-FE-98,-88,4,14,0,0,228,Living,1595310908348
B8-27-EB-D5-33-8B,-85,17,41,0,0,230,Living,1595310909358
B8-27-EB-6A-B8-0B,-88,17,16,0,0,232,Living,1595310910828
B8-27-EB-DB-FE-98,-81,4,23,0,0,231,Living,1595310910859
B8-27-EB-DB-FE-98,-91,17,22,0,0,236,Living,1595310912057
B8-27-EB-DB-FE-98,-89,17,19,0,0,238,Living,1595310913261
B8-27-EB-DB-FE-98,-93,4,20,0,0,240,Living,1595310913980
B8-27-EB-C0-BC-B1,-77,4,20,0,0,240,Living,1595310914056
B8-27-EB-C0-BC-B1,-94,4,20,0,0,240,Living,1595310914854
B8-27-EB-DB-FE-98,-67,17,20,0,0,242,Living,1595310914974
B8-27-EB-DB-FE-98,-65,17,16,0,0,245,Living,1595310916462
B8-27-EB-DB-FE-98,-77,17,16,0,0,247,Living,1595310917344
B8-27-EB-C0-BC-B1,-85,17,9,0,0,248,Living,1595310917824
B8-27-EB-6A-B8-0B,-95,17,9,0,0,248,Living,1595310918543
B8-27-EB-DB-FE-98,-68,14,15,0,0,249,Living,1595310918990
B8-27-EB-6A-B8-0B,-83,4,36,0,0,250,Living,1595310919172
B8-27-EB-C0-BC-B1,-83,14,10,0,0,252,Living,1595310919809
B8-27-EB-DB-FE-98,-64,14,10,0,0,252,Living,1595310920084
B8-27-EB-6A-B8-0B,-75,14,2,0,0,255,Living,1595310921386
B8-27-EB-7A-0F-BF,-84,14,2,0,0,0,Living,1595310921859
B8-27-EB-DB-FE-98,-68,14,5,0,0,254,Living,1595310921934
B8-27-EB-DB-FE-98,-76,14,4,0,0,1,Living,1595310922572
B8-27-EB-DB-FE-98,-67,4,4,0,0,3,Living,1595310923113
B8-27-EB-DB-FE-98,-59,14,18,0,0,5,Living,1595310924080
B8-27-EB-7A-0F-BF,-81,4,11,0,0,6,Living,1595310924664
B8-27-EB-6A-B8-0B,-94,14,7,0,0,8,Living,1595310925464
B8-27-EB-DB-FE-98,-73,4,17,0,0,9,Living,1595310926367
B8-27-EB-DB-FE-98,-72,14,9,0,0,10,Living,1595310927404
B8-27-EB-C0-BC-B1,-91,14,12,0,0,13,Living,1595310927894
B8-27-EB-DB-FE-98,-88,14,12,0,0,13,Living,1595310927894
B8-27-EB-6A-B8-0B,-79,14,15,0,0,14,Living,1595310928831
B8-27-EB-DB-FE-98,-90,14,81,0,0,16,Living,1595310929332
B8-27-EB-DB-FE-98,-70,14,15,0,0,19,Living,1595310930800
B8-27-EB-6A-B8-0B,-90,14,15,0,0,20,Living,1595310931224
B8-27-EB-C0-BC-B1,-81,14,15,0,0,20,Living,1595310931369
B8-27-EB-DB-FE-98,-75,14,13,0,0,22,Living,1595310932363
B8-27-EB-6A-B8-0B,-76,14,13,0,0,22,Living,1595310932434
B8-27-EB-DB-FE-98,-74,4,29,0,0,24,Living,1595310933312
B8-27-EB-6A-B8-0B,-75,14,21,0,0,25,Living,1595310933867
B8-27-EB-6A-B8-0B,-70,14,15,0,0,29,Living,1595310935555
B8-27-EB-DB-FE-98,-89,14,15,0,0,29,Living,1595310935570
B8-27-EB-6A-B8-0B,-92,14,15,0,0,29,Living,1595310936040
B8-27-EB-F2-6B-8A,-82,14,50,0,0,37,Living,1595310941277
B8-27-EB-6A-B8-0B,-66,4,48,0,0,39,Living,1595310941346
B8-27-EB-DB-FE-98,-81,4,35,0,0,42,Living,1595310941854
B8-27-EB-DB-FE-98,-83,14,32,0,0,43,Living,1595310942307
B8-27-EB-6A-B8-0B,-91,14,26,0,0,32,Living,1595310937836
B8-27-EB-F2-6B-8A,-85,14,34,0,0,35,Living,1595310938572
B8-27-EB-6A-B8-0B,-59,14,50,0,0,37,Living,1595310939635
B8-27-EB-6A-B8-0B,-87,14,32,0,0,43,Living,1595310942276
B8-27-EB-6A-B8-0B,-92,14,32,0,0,43,Living,1595310942740
B8-27-EB-F2-6B-8A,-77,14,23,0,0,44,Living,1595310942783
B8-27-EB-6A-B8-0B,-78,14,33,0,0,49,Living,1595310945621
B8-27-EB-F2-6B-8A,-92,14,16,0,0,56,Living,1595310948515
B8-27-EB-6A-B8-0B,-65,4,35,0,0,51,Living,1595310946225
B8-27-EB-DB-FE-98,-77,4,31,0,0,48,Living,1595310946374
B8-27-EB-6A-B8-0B,-80,4,16,0,0,54,Living,1595310948347
B8-27-EB-6A-B8-0B,-89,14,20,0,0,61,Living,1595310950899
B8-27-EB-6A-B8-0B,-87,14,19,0,0,65,Living,1595310952842
B8-27-EB-F2-6B-8A,-100,14,19,0,0,65,Living,1595310952851
B8-27-EB-F2-6B-8A,-82,14,22,0,0,68,Living,1595310954358
B8-27-EB-6A-B8-0B,-73,14,52,0,0,70,Living,1595310955271
B8-27-EB-F2-6B-8A,-85,14,52,0,0,70,Living,1595310955349
B8-27-EB-6A-B8-0B,-80,14,12,0,0,73,Living,1595310957138
B8-27-EB-6A-B8-0B,-81,4,5,0,0,75,Living,1595310957846
B8-27-EB-F2-6B-8A,-93,14,15,0,0,77,Living,1595310958591
B8-27-EB-6A-B8-0B,-75,4,16,0,0,78,Living,1595310959492
B8-27-EB-DB-FE-98,-93,14,12,0,0,73,Living,1595310957875
B8-27-EB-F2-6B-8A,-88,14,10,0,0,80,Living,1595310960030
