routerSerial,ri,action,movement,fall,battery,count,label,routerTime,loc_label
B8-27-EB-6A-B8-0B,-95,3,6,0,100,70,0,1.59533E+12,Living
B8-27-EB-6A-B8-0B,-82,4,13,0,100,72,0,1.59533E+12,Living
B8-27-EB-6A-B8-0B,-78,3,1,0,100,66,0,1.59533E+12,Living
B8-27-EB-6A-B8-0B,-93,3,18,0,100,79,0,1.59533E+12,Living
B8-27-EB-6A-B8-0B,-75,3,20,0,100,82,0,1.59533E+12,Living
B8-27-EB-6A-B8-0B,-78,4,29,0,100,84,0,1.59533E+12,Living
B8-27-EB-6A-B8-0B,-84,4,29,0,100,84,0,1.59533E+12,Living
B8-27-EB-6A-B8-0B,-81,3,47,0,100,91,0,1.59533E+12,Living
B8-27-EB-6A-B8-0B,-88,3,54,0,100,100,1,1.59533E+12,Stairway
B8-27-EB-6A-B8-0B,-84,3,1,0,100,144,1,1.59533E+12,Stairway
B8-27-EB-AD-32-FA,-76,3,31,0,100,183,1,1.59533E+12,Stairway
B8-27-EB-6A-B8-0B,-83,4,24,0,100,208,1,1.59533E+12,Stairway
B8-27-EB-6A-B8-0B,-86,4,59,0,100,217,1,1.59533E+12,Stairway
B8-27-EB-6A-B8-0B,-93,3,44,0,100,219,2,1.59533E+12,Living
B8-27-EB-6A-B8-0B,-83,4,8,0,100,232,2,1.59533E+12,Living
B8-27-EB-6A-B8-0B,-80,3,7,0,100,233,2,1.59533E+12,Living
B8-27-EB-6A-B8-0B,-89,3,16,0,100,237,2,1.59533E+12,Living
B8-27-EB-6A-B8-0B,-82,3,12,0,100,238,2,1.59533E+12,Living
B8-27-EB-6A-B8-0B,-93,4,15,0,100,242,2,1.59533E+12,Living
B8-27-EB-DB-FE-98,-80,3,39,0,100,20,2,1.59533E+12,Living
B8-27-EB-DB-FE-98,-92,4,19,0,100,28,3,1.59533E+12,Bed1
B8-27-EB-DB-FE-98,-85,4,29,0,100,34,3,1.59533E+12,Bed1
B8-27-EB-7A-0F-BF,-87,3,34,0,100,35,3,1.59533E+12,Bed1
B8-27-EB-DB-FE-98,-82,3,34,0,100,36,3,1.59533E+12,Bed1
B8-27-EB-DB-FE-98,-83,4,44,0,100,43,3,1.59533E+12,Bed1
B8-27-EB-DB-FE-98,-83,3,38,0,100,51,3,1.59533E+12,Bed1
B8-27-EB-DB-FE-98,-92,3,38,0,100,51,3,1.59533E+12,Bed1
B8-27-EB-DB-FE-98,-89,3,20,0,100,53,3,1.59533E+12,Bed1
B8-27-EB-DB-FE-98,-81,3,20,0,100,57,3,1.59533E+12,Bed1
B8-27-EB-6A-B8-0B,-78,4,21,0,100,61,3,1.59533E+12,Bed1
B8-27-EB-6A-B8-0B,-80,3,54,0,100,63,3,1.59533E+12,Bed1
B8-27-EB-6A-B8-0B,-96,3,8,0,100,75,4,1.59533E+12,Living
B8-27-EB-6A-B8-0B,-93,3,1,0,100,79,4,1.59533E+12,Living
B8-27-EB-6A-B8-0B,-80,3,0,0,100,82,4,1.59533E+12,Living
B8-27-EB-6A-B8-0B,-84,3,6,0,100,85,4,1.59533E+12,Living
B8-27-EB-DB-FE-98,-80,4,43,0,100,87,4,1.59533E+12,Living
B8-27-EB-6A-B8-0B,-82,3,47,0,100,89,5,1.59533E+12,Front
B8-27-EB-7A-0F-BF,-85,3,41,0,100,107,5,1.59533E+12,Front
B8-27-EB-6A-B8-0B,-85,3,42,0,100,112,5,1.59533E+12,Front
B8-27-EB-6A-B8-0B,-79,3,48,0,100,115,6,1.59533E+12,Living
B8-27-EB-6A-B8-0B,-94,4,37,0,100,120,6,1.59533E+12,Living
B8-27-EB-6A-B8-0B,-81,3,30,0,100,121,6,1.59533E+12,Living
B8-27-EB-DB-FE-98,-80,3,36,0,100,132,7,1.59533E+12,Dining
B8-27-EB-DB-FE-98,-84,3,28,0,100,138,7,1.59533E+12,Dining
B8-27-EB-DB-FE-98,-84,3,9,0,100,141,7,1.59533E+12,Dining
B8-27-EB-DB-FE-98,-86,4,18,0,100,143,7,1.59533E+12,Dining
B8-27-EB-DB-FE-98,-81,3,10,0,100,151,7,1.59533E+12,Dining
B8-27-EB-6A-B8-0B,-87,3,1,0,100,155,7,1.59533E+12,Dining
B8-27-EB-6A-B8-0B,-87,3,0,0,100,158,7,1.59533E+12,Dining
B8-27-EB-6A-B8-0B,-94,3,51,0,100,167,7,1.59533E+12,Dining
B8-27-EB-6A-B8-0B,-94,3,41,0,100,170,8,1.59533E+12,Living
B8-27-EB-6A-B8-0B,-96,3,53,0,100,172,8,1.59533E+12,Living
B8-27-EB-6A-B8-0B,-89,3,28,0,100,175,8,1.59533E+12,Living
B8-27-EB-6A-B8-0B,-85,4,10,0,100,177,8,1.59533E+12,Living
B8-27-EB-6A-B8-0B,-69,3,6,0,100,179,8,1.59533E+12,Living
B8-27-EB-6A-B8-0B,-75,3,0,0,100,182,8,1.59533E+12,Living
B8-27-EB-6A-B8-0B,-73,3,0,0,100,184,8,1.59533E+12,Living
B8-27-EB-6A-B8-0B,-94,3,0,0,100,189,8,1.59533E+12,Living
B8-27-EB-6A-B8-0B,-92,3,0,0,100,194,8,1.59533E+12,Living
B8-27-EB-6A-B8-0B,-82,4,17,0,100,197,8,1.59533E+12,Living
B8-27-EB-DB-FE-98,-84,4,29,0,100,203,8,1.59533E+12,Living
B8-27-EB-DB-FE-98,-84,3,39,0,100,201,8,1.59533E+12,Living
B8-27-EB-DB-FE-98,-90,4,60,0,100,206,9,1.59533E+12,Dining
B8-27-EB-DB-FE-98,-86,3,38,0,100,210,9,1.59533E+12,Dining
B8-27-EB-DB-FE-98,-70,4,28,0,100,212,9,1.59533E+12,Dining
B8-27-EB-DB-FE-98,-69,3,65,0,100,214,9,1.59533E+12,Dining
B8-27-EB-DB-FE-98,-88,2,1,0,100,222,9,1.59533E+12,Dining
B8-27-EB-6A-B8-0B,-79,4,41,0,100,229,9,1.59533E+12,Dining
B8-27-EB-DB-FE-98,-79,4,75,0,100,9,10,1.59533E+12,Stairway
B8-27-EB-DB-FE-98,-73,2,32,0,100,13,11,1.59533E+12,Dining
B8-27-EB-DB-FE-98,-70,4,35,0,100,18,11,1.59533E+12,Dining
B8-27-EB-DB-FE-98,-74,3,1,0,100,21,11,1.59533E+12,Dining
B8-27-EB-DB-FE-98,-78,3,0,0,100,23,11,1.59533E+12,Dining
B8-27-EB-DB-FE-98,-83,3,0,0,100,27,11,1.59533E+12,Dining
B8-27-EB-DB-FE-98,-91,3,0,0,100,27,11,1.59533E+12,Dining
B8-27-EB-7A-0F-BF,-94,3,29,0,100,44,12,1.59533E+12,Bed1
B8-27-EB-DB-FE-98,-81,3,29,0,100,44,12,1.59533E+12,Bed1
B8-27-EB-DB-FE-98,-80,3,17,0,100,46,12,1.59533E+12,Bed1
