routerSerial,ri,action,movement,fall,battery,count,label,routerTime
B8-27-EB-6A-B8-0B,-88,3,1,0,0,44,0,1595327040806
B8-27-EB-6A-B8-0B,-81,3,2,0,0,47,0,1595327042495
B8-27-EB-DB-FE-98,-80,3,17,0,0,53,0,1595327045154
B8-27-EB-6A-B8-0B,-83,3,14,0,0,50,0,1595327043125
B8-27-EB-6A-B8-0B,-85,4,15,0,0,54,0,1595327045274
B8-27-EB-6A-B8-0B,-79,3,27,0,0,58,0,1595327047387
B8-27-EB-DB-FE-98,-96,3,16,0,0,62,0,1595327049117
B8-27-EB-6A-B8-0B,-88,3,19,0,0,61,0,1595327049148
B8-27-EB-6A-B8-0B,-66,4,20,0,0,63,0,1595327049681
B8-27-EB-6A-B8-0B,-62,3,26,0,0,65,0,1595327050269
B8-27-EB-6A-B8-0B,-88,3,15,0,0,68,0,1595327052498
B8-27-EB-6A-B8-0B,-79,3,34,0,0,70,0,1595327054364
B8-27-EB-7A-0F-BF,-85,3,65,0,0,86,1,1595327060538
B8-27-EB-DB-FE-98,-83,4,16,0,0,96,1,1595327065181
B8-27-EB-6A-B8-0B,-82,3,39,0,0,110,1,1595327071969
B8-27-EB-D5-33-8B,-80,4,24,0,0,114,1,1595327073813
B8-27-EB-6A-B8-0B,-81,3,33,0,0,116,1,1595327075309
B8-27-EB-6A-B8-0B,-79,3,4,0,0,120,1,1595327076984
B8-27-EB-6A-B8-0B,-78,3,0,0,0,125,1,1595327079394
B8-27-EB-D5-33-8B,-81,3,4,0,0,118,1,1595327075810
B8-27-EB-D5-33-8B,-97,3,20,0,0,130,1,1595327081457
B8-27-EB-DB-FE-98,-99,4,12,0,0,135,1,1595327084048
B8-27-EB-7A-0F-BF,-91,3,8,0,0,136,1,1595327084314
B8-27-EB-6A-B8-0B,-97,3,5,0,0,134,1,1595327084378
B8-27-EB-DB-FE-98,-95,3,1,0,0,151,1,1595327092296
B8-27-EB-7A-0F-BF,-87,3,31,0,0,162,1,1595327096842
B8-27-EB-7A-0F-BF,-82,4,64,0,0,164,1,1595327097797
B8-27-EB-7A-0F-BF,-88,3,74,0,0,166,1,1595327098782
B8-27-EB-DB-FE-98,-81,3,80,0,0,179,1,1595327104981
B8-27-EB-DB-FE-98,-80,4,35,0,0,186,1,1595327108350
B8-27-EB-6A-B8-0B,-83,3,32,0,0,184,1,1595327108802
B8-27-EB-D5-33-8B,-80,3,39,0,0,187,1,1595327109006
B8-27-EB-6A-B8-0B,-82,4,37,0,0,189,1,1595327109824
B8-27-EB-D5-33-8B,-82,4,37,0,0,189,1,1595327109819
B8-27-EB-6A-B8-0B,-81,4,47,0,0,192,1,1595327111346
B8-27-EB-DB-FE-98,-82,3,38,0,0,191,1,1595327111732
B8-27-EB-6A-B8-0B,-94,3,37,0,0,194,2,1595327113107
B8-27-EB-6A-B8-0B,-75,4,43,0,0,201,2,1595327115661
B8-27-EB-6A-B8-0B,-91,3,21,0,0,206,2,1595327117941
B8-27-EB-6A-B8-0B,-79,3,9,0,0,211,2,1595327120817
B8-27-EB-6A-B8-0B,-76,3,9,0,0,212,2,1595327121323
B8-27-EB-D5-33-8B,-86,4,15,0,0,220,2,1595327124777
B8-27-EB-6A-B8-0B,-82,3,16,0,0,219,2,1595327124187
B8-27-EB-DB-FE-98,-83,3,3,0,0,224,2,1595327126579
B8-27-EB-F2-6B-8A,-84,3,16,0,0,221,2,1595327126930
B8-27-EB-6A-B8-0B,-94,3,0,0,0,228,2,1595327128838
B8-27-EB-DB-FE-98,-85,3,0,0,0,227,2,1595327128814
B8-27-EB-6A-B8-0B,-95,3,0,0,0,231,2,1595327129942
B8-27-EB-6A-B8-0B,-96,3,0,0,0,237,2,1595327132821
B8-27-EB-DB-FE-98,-79,3,0,0,0,238,2,1595327133298
B8-27-EB-6A-B8-0B,-81,4,16,0,0,248,2,1595327138129
B8-27-EB-DB-FE-98,-95,3,45,0,0,250,2,1595327139040
B8-27-EB-DB-FE-98,-93,3,57,0,0,252,2,1595327139997
B8-27-EB-DB-FE-98,-78,3,23,0,0,2,2,1595327143158
B8-27-EB-DB-FE-98,-89,4,10,0,0,6,3,1595327144795
B8-27-EB-DB-FE-98,-76,3,2,0,0,4,3,1595327143974
B8-27-EB-7A-0F-BF,-99,4,31,0,0,9,3,1595327146229
B8-27-EB-7A-0F-BF,-78,3,42,0,0,11,3,1595327147298
B8-27-EB-DB-FE-98,-91,3,42,0,0,11,3,1595327148147
B8-27-EB-DB-FE-98,-84,3,36,0,0,13,3,1595327149114
B8-27-EB-7A-0F-BF,-81,3,27,0,0,16,3,1595327149598
B8-27-EB-DB-FE-98,-82,4,21,0,0,18,3,1595327150558
B8-27-EB-7A-0F-BF,-83,3,49,0,0,19,3,1595327151072
B8-27-EB-DB-FE-98,-73,3,57,0,0,20,3,1595327152511
B8-27-EB-DB-FE-98,-85,3,44,0,0,23,3,1595327152957
B8-27-EB-DB-FE-98,-79,3,19,0,0,25,3,1595327154099
B8-27-EB-DB-FE-98,-92,3,19,0,0,25,3,1595327154822
B8-27-EB-DB-FE-98,-68,4,51,0,0,27,3,1595327155538
B8-27-EB-7A-0F-BF,-84,3,22,0,0,32,3,1595327157307
