routerSerial,ri,action,movement,fall,battery,count,label,routerTime,loc_label
B8-27-EB-AD-32-FA,-90,2,2,0,0,199,0,1595327724476,Living
B8-27-EB-F2-6B-8A,-95,3,6,0,0,198,0,1595327724477,Living
B8-27-EB-C0-BC-B1,-96,2,2,0,0,199,0,1595327724520,Living
B8-27-EB-DB-FE-98,-89,3,1,0,0,200,0,1595327724938,Living
B8-27-EB-6A-B8-0B,-83,3,6,0,0,198,0,1595327725080,Living
B8-27-EB-F2-6B-8A,-84,3,2,0,0,201,0,1595327725517,Living
B8-27-EB-6A-B8-0B,-75,3,2,0,0,201,0,1595327725896,Living
B8-27-EB-6A-B8-0B,-72,2,0,0,0,203,0,1595327726432,Living
B8-27-EB-F2-6B-8A,-78,2,2,0,0,204,0,1595327726924,Living
B8-27-EB-6A-B8-0B,-66,2,2,0,0,205,0,1595327727462,Living
B8-27-EB-AD-32-FA,-84,2,2,0,0,205,0,1595327727561,Living
B8-27-EB-DB-FE-98,-88,2,30,0,0,208,0,1595327728951,Living
B8-27-EB-F2-6B-8A,-82,2,30,0,0,208,0,1595327729027,Living
B8-27-EB-6A-B8-0B,-81,2,30,0,0,208,0,1595327728972,Living
B8-27-EB-6A-B8-0B,-78,2,58,0,0,211,0,1595327730418,Living
B8-27-EB-AD-32-FA,-83,4,42,0,0,209,0,1595327729366,Living
B8-27-EB-D5-33-8B,-79,2,56,0,0,210,0,1595327729821,Living
B8-27-EB-DB-FE-98,-86,2,56,0,0,210,0,1595327730547,Living
B8-27-EB-6A-B8-0B,-74,4,44,0,0,212,1,1595327730903,Stairway
B8-27-EB-DB-FE-98,-91,4,44,0,0,212,1,1595327731008,Stairway
B8-27-EB-AD-32-FA,-75,2,53,0,0,214,1,1595327731690,Stairway
B8-27-EB-6A-B8-0B,-77,4,41,0,0,215,1,1595327732577,Stairway
B8-27-EB-6A-B8-0B,-78,2,53,0,0,217,1,1595327733197,Stairway
B8-27-EB-22-6B-12,-93,2,21,0,0,219,1,1595327734061,Stairway
B8-27-EB-6A-B8-0B,-81,2,21,0,0,219,1,1595327734126,Stairway
B8-27-EB-7A-0F-BF,-84,4,77,0,0,221,1,1595327735299,Stairway
B8-27-EB-7A-0F-BF,-81,2,53,0,0,223,1,1595327736148,Stairway
B8-27-EB-AD-32-FA,-75,2,53,0,0,223,1,1595327736522,Stairway
B8-27-EB-7A-0F-BF,-84,2,52,0,0,225,1,1595327736950,Stairway
B8-27-EB-DB-FE-98,-78,2,50,0,0,229,1,1595327739477,Stairway
B8-27-EB-F2-6B-8A,-86,4,52,0,0,230,1,1595327739429,Stairway
B8-27-EB-D5-33-8B,-82,2,36,0,0,231,1,1595327740025,Stairway
B8-27-EB-6A-B8-0B,-85,2,36,0,0,231,1,1595327739984,Stairway
B8-27-EB-7A-0F-BF,-86,2,35,0,0,232,1,1595327740343,Stairway
B8-27-EB-6A-B8-0B,-90,2,36,0,0,231,1,1595327740978,Stairway
B8-27-EB-D5-33-8B,-79,4,49,0,0,236,1,1595327742440,Stairway
B8-27-EB-F2-6B-8A,-95,2,43,0,0,237,1,1595327744048,Stairway
B8-27-EB-DB-FE-98,-90,2,30,0,0,240,1,1595327744135,Stairway
B8-27-EB-6A-B8-0B,-63,4,57,0,0,239,1,1595327744222,Stairway
B8-27-EB-D5-33-8B,-79,4,57,0,0,239,1,1595327744214,Stairway
B8-27-EB-6A-B8-0B,-76,4,60,0,0,242,2,1595327745451,Living
