routerSerial,ri,action,movement,fall,battery,count,label,routerTime
B8-27-EB-6A-B8-0B,-84,3,2,0,100,233,0,1595327725896
B8-27-EB-6A-B8-0B,-86,3,0,0,100,235,0,1595327726432
B8-27-EB-6A-B8-0B,-90,3,7,0,100,238,0,1595327728525
B8-27-EB-DB-FE-98,-79,3,30,0,100,9,1,1595327740783
B8-27-EB-6A-B8-0B,-88,4,61,0,100,10,1,1595327741405
B8-27-EB-6A-B8-0B,-90,3,31,0,100,15,1,1595327743545
B8-27-EB-F2-6B-8A,-87,4,30,0,100,16,1,1595327744048
B8-27-EB-6A-B8-0B,-94,3,67,0,100,18,1,1595327744989
B8-27-EB-6A-B8-0B,-74,3,39,0,100,20,2,1595327745979
B8-27-EB-6A-B8-0B,-81,3,16,0,100,23,2,1595327747645
B8-27-EB-6A-B8-0B,-85,3,7,0,100,27,2,1595327749309
B8-27-EB-DB-FE-98,-80,3,46,0,100,33,2,1595327752213
B8-27-EB-DB-FE-98,-78,3,46,0,100,36,2,1595327753773
B8-27-EB-DB-FE-98,-81,4,32,0,100,40,2,1595327755600
B8-27-EB-DB-FE-98,-83,3,5,0,100,43,3,1595327757280
B8-27-EB-DB-FE-98,-79,3,18,0,100,45,3,1595327758523
B8-27-EB-7A-0F-BF,-90,4,16,0,100,47,3,1595327759677
B8-27-EB-7A-0F-BF,-80,3,64,0,100,51,3,1595327760837
B8-27-EB-DB-FE-98,-88,3,51,0,100,52,3,1595327761893
B8-27-EB-DB-FE-98,-71,3,5,0,100,54,3,1595327762374
B8-27-EB-DB-FE-98,-71,4,37,0,100,57,3,1595327764028
B8-27-EB-DB-FE-98,-77,3,43,0,100,61,3,1595327765720
B8-27-EB-6A-B8-0B,-91,4,65,0,100,66,3,1595327768545
B8-27-EB-6A-B8-0B,-88,4,10,0,100,75,4,1595327772477
B8-27-EB-6A-B8-0B,-85,3,37,0,100,73,4,1595327771382
B8-27-EB-6A-B8-0B,-77,4,4,0,100,78,4,1595327774094
B8-27-EB-6A-B8-0B,-88,3,2,0,100,83,4,1595327776229
B8-27-EB-6A-B8-0B,-90,3,1,0,100,85,4,1595327777548
